,dimention,nDCG@10
0,900,0.29085272689858793
1,901,0.29191822101246595
2,902,0.29112963042648676
3,903,0.29060310451085036
4,904,0.2920191450519689
5,905,0.29224909002785704
6,906,0.2920449683644774
7,907,0.29192645812140144
8,908,0.2921135183457312
9,909,0.2926248158100794
10,910,0.29280577200780195
11,911,0.2930615882634773
12,912,0.2932144599792291
13,913,0.2931549169108966
14,914,0.29290866443794544
15,915,0.2924292415082889
16,916,0.2933553065001728
17,917,0.29173497483326244
18,918,0.29158878713764924
19,919,0.28961597651520476
20,920,0.29109280651865416
21,921,0.2918571644342676
22,922,0.2912915913749863
23,923,0.2911253646823272
24,924,0.29104340509112203
25,925,0.29097809387706786
26,926,0.2917961343837282
27,927,0.2923470512562125
28,928,0.29236733209119614
29,929,0.2915919217309312
30,930,0.2929202164415786
31,931,0.29029176537446216
32,932,0.2903509786630626
33,933,0.291810367508145
34,934,0.29168509631573103
35,935,0.29193561809641594
36,936,0.29114936366772776
37,937,0.2926983193751403
38,938,0.2941860607195942
39,939,0.2942040049050083
40,940,0.2942468463203163
41,941,0.294459368697351
42,942,0.29457349891027335
43,943,0.29287205302440467
44,944,0.2945570463612817
45,945,0.2945901600157455
46,946,0.2945259191177274
47,947,0.29419357912910443
48,948,0.29387882660296155
49,949,0.294854811566679
50,950,0.29477999975161634
51,951,0.29542931475880074
52,952,0.29415812639505534
53,953,0.2949407498298853
54,954,0.2948630880985864
55,955,0.29474283704432336
56,956,0.29236739443713705
57,957,0.2921735538274041
58,958,0.29234589607541817
59,959,0.29320574668126903
60,960,0.29385312569219646
61,961,0.29324419936950125
62,962,0.2935130215266502
63,963,0.2940688941164893
64,964,0.2947417385849074
65,965,0.2932025755688805
66,966,0.2929305650074734
67,967,0.2934906045647811
68,968,0.29340519732607245
69,969,0.2931723826130193
70,970,0.2934815717198196
71,971,0.29328789788495124
72,972,0.29326732733357314
73,973,0.2932733950741003
74,974,0.2936134285590927
75,975,0.2939735185446851
76,976,0.29488535483067563
77,977,0.2953722615440805
78,978,0.2953050714438114
79,979,0.29427583061655277
80,980,0.29400292169102366
81,981,0.2942498923715025
82,982,0.2947892661337069
83,983,0.29498159515374894
84,984,0.29382909441194
85,985,0.29431799544270465
86,986,0.29464032611067337
87,987,0.2948666193645392
88,988,0.29481003861693295
89,989,0.2945551870201433
90,990,0.2944421649264913
91,991,0.2956558944402566
92,992,0.29568481923846585
93,993,0.29622369071151966
94,994,0.2949134051733968
95,995,0.2948497644744243
96,996,0.29440486307762065
97,997,0.29522565292814307
98,998,0.2964943737005873
99,999,0.2961943223622268
100,1000,0.2966078242347367
101,1001,0.2956334666682957
102,1002,0.29563817117638025
103,1003,0.29513403562279955
104,1004,0.295538051566322
105,1005,0.2941685168654692
106,1006,0.2947387409907584
107,1007,0.29447291773320355
108,1008,0.2951282939163683
109,1009,0.2951600928552178
110,1010,0.2959183401948858
111,1011,0.2964562638666444
112,1012,0.29678542347410675
