,dimention,nDCG@10
0,1,0.008253591986263131
1,2,0.011226501952187478
2,3,0.01083566306619569
3,4,0.013483462601054107
4,5,0.015079332484579842
5,6,0.017011021131499778
6,7,0.02373083026905795
7,8,0.031655093525874915
8,9,0.031126584339489716
9,10,0.028556835884210513
10,11,0.03650557921857532
11,12,0.039878083465873945
12,13,0.047535002930573146
13,14,0.047281308411907266
14,15,0.04556985723504502
15,16,0.043815067894345736
16,17,0.05495486874105034
17,18,0.05289095937178014
18,19,0.051695785656870046
19,20,0.05327261408878664
20,21,0.05610959027700518
21,22,0.06675757426473214
22,23,0.07505754512243001
23,24,0.06972513058678924
24,25,0.07506500361798428
25,26,0.07779037986820636
26,27,0.08040972731739161
27,28,0.08644877480859196
28,29,0.08802101732471146
29,30,0.09013540076003379
30,31,0.09769307640679888
31,32,0.10284713650884383
32,33,0.10389911685516785
33,34,0.10611475654999443
34,35,0.11390763894719146
35,36,0.11380237154387117
36,37,0.11663152839032624
37,38,0.11881506255894958
38,39,0.118822632891652
39,40,0.12080885899584566
40,41,0.12216009553428198
41,42,0.12402563158955202
42,43,0.12856353123255024
43,44,0.13413190507994963
44,45,0.13354826357498772
45,46,0.13538546653292177
46,47,0.1358041033016258
47,48,0.13920763568295683
48,49,0.14122303166696298
49,50,0.14336263154834394
50,51,0.1458180894728246
51,52,0.1498854281211924
52,53,0.15307703797822528
53,54,0.15463278649121645
54,55,0.1561695258939455
55,56,0.15482649906665671
56,57,0.1549668396937421
57,58,0.15472715361804845
58,59,0.15534312682968582
59,60,0.15672325183864458
60,61,0.16565117232327747
61,62,0.1653049466117174
62,63,0.16553186236837203
63,64,0.16667308525476687
64,65,0.1699081653847643
65,66,0.1711115366534253
66,67,0.17217689587446447
67,68,0.16939095092520193
68,69,0.17082300911933457
69,70,0.17361827064526592
70,71,0.17175633155171743
71,72,0.1731747210215827
72,73,0.1750934069686978
73,74,0.1772073238408928
74,75,0.17906004181911797
75,76,0.1788805191745544
76,77,0.18285194844437727
77,78,0.18429184085770844
78,79,0.1840986947976783
79,80,0.1842913643510185
80,81,0.1852751345522237
81,82,0.1873148920544412
82,83,0.1869333792394376
83,84,0.18809500962350897
84,85,0.18861331490969685
85,86,0.18756379070785276
86,87,0.18999939387602643
87,88,0.19027020186720345
88,89,0.1904637419288119
89,90,0.19121600851059062
90,91,0.19431075460840352
91,92,0.19565930866435305
92,93,0.19524149788455553
93,94,0.19692903264537492
94,95,0.20024932640559742
95,96,0.19998600530380295
96,97,0.202224501390532
97,98,0.20274384881332788
98,99,0.2039319619374039
99,100,0.20372098013373433
100,101,0.20311742657692478
101,102,0.202986047262275
102,103,0.20680473610234595
103,104,0.20553518429170367
104,105,0.2080031951662729
105,106,0.2050766378517537
106,107,0.1996968592716118
107,108,0.20075997616118602
108,109,0.20234032994125778
109,110,0.20538976675805018
110,111,0.2076954271756239
111,112,0.20786185270231214
112,113,0.21134394787933863
113,114,0.2111313972736448
114,115,0.21115177629244125
115,116,0.21312768403179386
116,117,0.21424763946982647
117,118,0.21400422065569807
118,119,0.21573594051847006
119,120,0.21546929997127065
120,121,0.2179597333706771
121,122,0.21826775705130325
122,123,0.22050982363199942
123,124,0.22013207692789336
124,125,0.21985917156812956
125,126,0.2199058701131941
126,127,0.22023703935307504
127,128,0.2204738579072875
128,129,0.2231529361731833
129,130,0.22397663337789162
130,131,0.22498625579758932
131,132,0.2245006713648351
132,133,0.22463537960311722
133,134,0.22477906218171714
134,135,0.22476759449024955
135,136,0.2248348805343434
136,137,0.22804566198260184
137,138,0.225663606916336
138,139,0.2254766923318366
